0510	Four Seasons Moskva, Moscow	H			2/21/2005 0:00:00		 US$07022004	H			
0511	Four Seasons Hotel , Bahrain	H	60617		1/6/2005 0:00:00	CITI	 US$07022004	H		PALM BEACH	
0511.1	Four Seasons Hotel , Bahrain Additional Services	H	60617		5/29/2007 0:00:00	CITI	 US$07022004	H		PALM BEACH	
0512	Sheraton Grande Sukhumvit	H	60599			HK	 US$07022004	H		HK	
0513	Qing Long QIao Apart Show Flat,Beiji	h				HK		A		HK	
0515	Deep Blue Plaza-Penthouse	H	60484			HK		A		HK	
0516	Hyatt Regency Delhi / Residence Function Space	h	60605					H		PALM BEACH	
0516.1	Hyatt Regency Delhi / Typical Guest Room	h	60605			CITI	 US$07022004	A		PALM BEACH	
0517	Kunlun Café Restaurant	H	60465					H	HOLD		
0518	Hyatt Regency Pune, India	H	60606			MA		H		PB-Mauritus	
0519	Shanghai Rose Garden	H	59646			HK	 HK$07022004	A		HK	
0522	Huazhe Bund Shanghai	H	0		7/26/2005 0:00:00	HK	 US$07022004	H		HK	
0522.1	Huazhe Bund Bldg. #2-Apt.RM Type Int. Desgn Serv	H	0			HK	 HK$07022004	A		HK	
0522.2	Shanghai Huazhe Bund - FF&E Supp. Agreement	H	0				 HK$07022004	H		HK	
0523	Grand Hyatt Beijing	H	0				 US$07022004	H		HK	
0524	Deep Blue Plaza-Office BLDG Lobby	h	0			HK	 HK$07022004			HK OTTO	
0525	Nanjing International Westin Hotel	H	0			HK	 US$07022004	H	ON HOLD	HK	
0526	Nanjing Int'l Plaza PHI Yu Ji Hua Fu Show Flat	H	0			HK	 US$07022004	H		HK	
0526.1	Nanjing Int'l Plaza North Tower Apt. L38-39	H	0				 US$07022004	H		HK	
0528	Shangri-La Bangalore	H	0			MA	 US$07022004	A	HOLD - SHOULD WE REMOVE THIS PROJECT FROM THE BILLING DRAFT REPORT?	PB-Mauritus	
0530	Westin Resort Coloane, Macau	h	0				 US$07022004	A		HK OTTO	
0531	Po Li Golf President Zhu's Luxury Villa	H	0				 HK$07022004	H			
0532	Zhuyu City Apartments and Townhouse	H	0				 HK$07022004	H		HK OTTO	
0532.1	InterWest Townhouse South North Direct (New Unit)	h	0				 HK$07022004			HK OTTO	
0601	Apartment of Beijing Mansion	h	0			HK			No contract copy in WPB's files	HK	
0602	Star River Room Type Layout Adjustment	h	0				 HK$07022004			HK OTTO	
0602.1	Beijing Star River -Lux-Apt. Show Flat-T B51&B10A	H	0				 HK$07022004	H		HK	
0603	Hangzhou Yuhang Guihuacheng	H	0			HK	 HK$07022004	H		HK OTTO	
0604	Golden Sand Resort	H	0			HK	 HK$07022004	H		HK	
0605	Hangzhou Rose Garden	H	0			HK	 HK$07022004	A		HK	
