815	Saraya Islands: Taj Exotica	H
817	Xiamen Straits Int'l Community Residential	H
818	Lot 334 Kelantan Land, Kuala Lumpur	H
820	Jin Zhou wan Bo Cultural & Sport Conven & Ext CTR	H
821	Indigo Hotel Concept Design	H
822	Xinjiang (Urumqi) Office Lobby & Ph I Residential	H
823	Hangzhou Intercontinental Hotel	H
901	Qinghai Geermu New Century Hotel	H
902	Hangzhou InterContinental, China	H
903	Beijing U-Town Maritim Hotel, China	H
904	Penthouse Hotel, Panama	H
906	Fengyuan Golden Rose Hotel Arch. Concept. Design	H
907	Qinghai Geermu Chairman Apart.	h
908	Jiangyin Xicheng Crowne Plaza Hotel	A
909	Osaka Station North Yard Hotel & Resident, Japan	h
910	Hyatt Regency Delhi (Apartments)	H
911	Hyatt Regency Delhi (Suites)	H
912	Hyatt Regency Delhi India-Various Renovations, Ind	H
913	Fengyuan Rose City Taian RD Comm St. Arch. Conc DS	H
914	Shanghai Guoman Chengfeng City Hotel	h
915	Beijing U-Town Maritim Hotel	H
916	Hangzhou Jindu Residental Apt Model RM Int. Dsgn S	h
918	Shanghai Huazhe Bund Huangpu	H
919	Gemdale Shanghai Residential	H
919.2	Gemdale Shanghai Qingpu Residential - Add Serv	H
920	Shanghai Xiaonanguo Hotel, China	h
921	Chongqing New World Hotel & Resid Int Serv GR&PA	H
923	Beijing kunlun Gardens, China	H
100	GENERAL OFFICE	H
1001	Hainan Clear Bay JW Marriott Hotel	h
1002	Dalian Star Sea Bay Residential	H
1003	Guiyang New World Hotel	h
1004	Changchun Hyatt Regency Hotel	H
1005	Xiamen Jindu Resid Aprt Model RM,Main Lobby&Club H	h
1005.2	Xiamen Jindu Resid Aprt Model RM,A,B,E,F,G	H
1007	Beijing Kunlun Hotel Deluxe Suite	H
1008	Qingdao Tianyi Gulf Villa #5 & #7 Model Rm, China	h
1009	H. R. Hotel Delhi / Various Renovation (Full/Soft)	H
1010	The Magnolias Club Gurgaon	A
1010.0	The Magnolias Club/Addendum 1,2&3	H
1010.2	The Magnolias Club Gurgaon	h
1011	New World Hotel Makati City, Manila	H
1012	Tianjin Tanggu Lot B-15 Hotel	h
1013	GreenTown Beijing Tongzhou Residential	A
1014	Taiyuan Kempinski Hotel, China	H
1014.1	Taiyuan Kempinski Hotel-Add Model Rm-Stand Twin	H
1014.2	Taiyuan Kempinski Hotel JobSite	H
1014.3	Taiyuan Kempinski Hotel-Resident Job Site Coord	H
1014.4	Taiyuan Kempinski Hotel-Resident Job Site Coord	H
1014.5	Taiyuan Kempinski Hotel-Resident Job Site Coord	h
1014.6	Taiyuan Kempinski Hotel-Resident Job Site Coord	h
1015	Tianjin Binhai Crowne Plaza Hotel, China	A
1016	Suzhou Greentown Rose Garden Resid MRM& Club House	H
1016.2	Suzhou Greentown Rose Gardens Villa, China	A
1017	Greentown Tianjin Tanggu Lot B-14 Residential	h
1018	Beijing Yuecai Hotel, China	A
1019	Beijing Tongzhou Hilton Hotel, China	A
1020	W Panama Hotel	H
1021	Greentown Fuchun Heyuan Club House	H
1022	Yixing Xiying Residential, China	H
1022.1	Yixing Xiying Residential, China	h
1023	Hangzhou Lanyuan Resid & Club House	h
1023.1	Hangzhou Lanyuan Lot A Serv. Apt.	h
1025	Beijing Eastern Provence Villa	A
1026	Hyatt Regency Apt. Redesign	H
1027	Beijing Tongzhou Greentown Jinghang Aprt	A
1102	Grand Hyatt Manila Hotel	A
1102.1	Grand Hyatt Manila Hotel- For Add Design Area	A
1102.2	Grand Hyatt manila Hotel - Supplementary	A
1102.3	Grand Hyatt Manila Hotel - additional guestrooms	h
1103	Greentown Rose Garden Villa, China	h
1103.1	Shanghai Greentown Rose Garden Villa	A
1104	Beijing Chang'an Kulun Hotel, China	A
1105	Greentown Shenyang Sheraton Hotel Public Area	H
1105.1	Greentown Shenyang Sheraton Hotel Presd. Ste	h
1105.2	Greentown Shenyang Sheraton Hotel Presd. Ste	H
1105.4	Greentown Shenyang Sheraton Presid.l Ste(Re-Design	H
1108	Beijing LSH Hyatt Regency Hotel	H
1109	Grand Hyatt Beijing Guestroom Full Renovation	A
1112	Jinan Guihe Crowne Plaza Hotel	A
1113	Chengdu Xiangyang Kempinski Hotel Ren	h
1113.1	Chengdu Xiangyang Kempinski Hotel Ren	h
1114	Dongguan Changan Lotus Hill Hotel&State Gust Hotel	H
1115	Hyatt Regency Xian Hotel	A
1116	Hyatt Regency Hotel, Cartagena	A
1116.1	Hyatt Regency Serv. Apts Cartagena	A
1116.2	Plaza Boca Grande, Cartagena	A
1117	Yueqing Hilton Double Tree Hotel, China	A
1118	Beijing Kunlun Chef's Table	h
1120	Chengdu Dayuan Hotel and One Office BLDG	h
1201	Grand Hyatt Hotel, Ballroom Renovation	h
1202	Beijing Kunlun Hotel Multi-Function Ballroom	h
1203	Shanghai Pudong Zhenlong Hotel	h
1204	Four Seasons IFC, HK Serv Apt Refurbishment	A
1205	Ritz Carlton Bachelor Gulch, Co	A
1205.1	The Ritz-Carlton Bachelor Gulch-Int Café &Lift-Cab	a
1205.2	The Ritz-Carlton Bachelor Gulch-Spa/Soft Refurb	h
1206	HG Manila, Residence Public Are/Model RM	A
1207	Langham Hong Kong Chuan Spa	A
1208	Venetian Mini - Projects	h
1209	Courtyard by Marriott - Nerul, India	A
1209.1	Courtyard by Marriott - Nerul, India	A
1210	Golf Links PH V - Sales Office & Show Flat	A
1210.0	The Camellias-(Magnolias-II)	h
1210.1	Magnolia-II/PH-V Gurgaon, India	A
1210.2	The Camellias-Magnolias II	H
1212	Ruixing D-2 Residence, Ruian, Wenzhou China	A
1213	Nanjing Int'l Plaza North Tower Luxury Apt. L38-39	H
1214	Golf Links PH V - Pro-Shop & Viewing Gallery	A
1215	Hyatt Regency Colombo, Sri Lanka	A
1215.1	Hyatt Regency Colombo, Service Apt	A
1215.2	Hyatt Regency Colombo,Sri Lanka-Japanese Rest 11th	A
1216	Darwin Bay Le Gray Hotel, Galapagos (ID)	h
1216.9	Darwin Bay Le Gray Hotel, Galapagos (MP)	h
1216.91	Darwin Bay Le Gray, Galapagos (Arch)	H
1217	Paradiso Le Gray Hotel, Galapagos (ID)	h
1218	Marriot Hotel, Xuzhou, China	A
1219	Conrad Hotel, Pune, India	h
1220	Crowne Plaza Hotel & Serv. Apt, Macau	A
1221	Venetian Mini-Project (2)	h
1222	St. Regis Hotel at the Al Habtoor, Dubai	A
1223	Fairmont Hotel, Wuhan	A
1225	Shanghai Huamu Residential	h
1226	Qingdao Shenlan Plaza Residence, China	A
1227	Venetian Suites Refurbisment	h
1228	Hangzhou Golden Horse Real Estate Co. Ltd	A
1229	Zhong Xin Garden Residential Model Room	A
1230.9	Iguaraya Master Plan, Colombia (MP)	h
1231.9	The Art Hotel, Calle93, Bogota (MP)	h
1232.9	Calitina Wine Resort, Mendoza (MP)	h
1233	Beijing Qinglong Lake Int'l Conference Hotel	h
1234.9	Altos De Guayacanes, Cartagena (MP)	h
1235.8	Le Meridian Resort Hotel at Mount Emei	h
1236	Hangzhou Lanyuan Lot B Residence	A
1236.1	Jose Ignacio Winery, Uruguay	h
1237	Hangzhou Lanyuan Lot B Villa	A
1238	Darwin Bay Villas, Galapagos (ID)	h
1238.9	Darwin Bay Villas, Galapagos (MP)	h
1240	Ritz-Carlton Ft. Lauderdale	h
1241	St. Tropez, West Entrance-Porte de Cochere	A
1301	Nanjing Cui Ping Zi Qi Yun Gu Residence, China	A
1301.1	Nanjing Cui Ping Zi Qi Yun Gu Resd1210 BLK 2,China	A
1302	Beijing LSH Center, China	A
1305	Ningbo Romon Universal City Apt	A
1306.9	The Inn at Villa Bianca, Seymour, Connecticut(MP)	h
1307	Yantai Wanfang Jun Fu Villa/Residence,China	A
1308	Ritz Carlton Grande Lakes, Orlando	A
1309	Nanjing Cui Ping Jiuxi Cheng Yuan Villa/Flat China	h
1310	Hilton Hotel Colombo-Sri Lanka	h
1311	Ritz Carlton Ft. Laud. Model Condo	A
1312	Ritz Carlton Ft. Laud., Spa & Model Room	A
1313	Beijing Miyun Yunxi Low Rise Residential	A
1314	Golf Estate, Sector 65, Gurgaon	A
1315	Zhejiang Shaoxing Jia Yue Plaza (Residence)	A
1316	Hyatt Regency Hotel, Shipai, Dongguan China	A
1317	Jinan Guihe Crown Plaza Hotel, 9-14-Level PHI GRM	A
1318	Beijing Yan Qi Lake Villa, China	A
1319	Beijing Miyun Yunxi Townhouse Type 6	A
1320	The Royal Garden Hotel, HK New GRM Ext. 18&19F	A
1320.1	The Royal Garden Hotel, H.K.-17F BRM & PA	A
1321	Anhul Hefel Conrad, China	A
1322	Dalian Wharf Gtown Buxiuxiang Resd,Model HouseABCD	A
1323	Zhejiang Shaoxing Keqiao Jiayue Plaza Resd.Mezzani	A
1324	Cape Sol Villa, Phuket, Thailand	A
1326	Hangzhou Xiaoshan Grntwn Qianjiang Century City,Ch	A
1327	Wuxi Lake Vista Villa Model Houses TypeC1&D2,China	A
1328	Jinan Guihe Crowne Plaza Hotel 9-14 level PHI Chin	A
1330	Xinjiang Wyndham Le Grand Large HotelVillaC, China	A
200	?	H
215.1	MARINA SQUARE HOTEL & CASINO	H
500	THE SOURCE GROUP	H
800	JIM &  JOHNS PERSONAL PROJECTS	H
9007	HYATT REGENCY JOHOR BAHRU	H
9106	HYATT REGENCY PRAGUE	H
9107	WORLD TRADE CENTER	H
9108	MERIDIEN HOTEL, CAIRO	H
9108.3	MERIDIEN HOTEL, ROYAL SALON	H
9109	CHATEAU DE BANGKOK/LUMPINI	H
9123	GRAND HYATT HONG KONG	H
9211	GRAND HYATT KUALA LUMPUR	H
9211.1	DUTA GRAND HOTELS/ADD. SERVICE	H
9218	HYATT REGENCY, JERUSALEM	H
9223	PEAK CAFE	H
9224	GREEN BAY RESORT, TAIWAN	H
9225	GRAND HYATT KAOHSIUNG	H
9228.1	GRAND HYATT TAIPEI/IL LEONE	H
9228.2	GRAND HYATT TAIPEI, CLUB MART	H
9228.4	GRAND HYATT TAIPEI/OTHER AREAS	H
9228.5	GRAND HYATT TAIPEI/ADDT'L AREA	H
9229	HYATT REGENCY DEAD SEA	H
9304	GRAND HYATT MELBOURNE	H
9305	GRAND HYATT FUKUOKA	H
9309	GUOMAN HOTEL, KUALA LUMPUR	H
9310	PARK HYATT ZURICH	H
9405	MAX MOAR APT	H
9406	GRAND HYATT SHANGHAI	H
9407	MANDARIN ORIENTAL, MEXICO CITY	H
9408	KAOHSIUNG RESTAURANT COMPLEX	H
9409	PARK  HYATT PARIS	H
9410	NAN-SHA HOTEL, ARCHITECTURAL	H
9411	NAN-SHA HOTEL I.D.	H
9412	HYATT BAKU	H
9413	SHA JIAO ISLAND	H
9414	HAYMAN ISLAND RESORT	H
9415	CAIRO HOTEL	H
9415.5	CAIRO HOTEL / GALLERIA	H
9415.7	CAIRO HOTEL / OPERATOR CHANGES	H
9415.8	CAIRO HOTEL/GRAND ROYAL SUITE	H
9415.9	TEST FOR CONV	H
9416	MANILA BAY	H
9417	EL FARO, CARTEGENA	H
9417.1	HYATT EL FARO DE CARTAGENA(ID)	H
9417.2	EL FARO HYATT RESORT	H
9417.3	HYATT EL FARO DE CART. AR / RE	H
9417.4	HYATT EL FARO DE CART.(ID)(RE)	H
9417.5	HYATT EL FARO ID/GOLF/HEALTH	H
9418	NAN-SHA NEW CITY	H
9419	GH HONG KONG VARIOUS AREAS	H
9420	PREHRAN, MELBOURNE	H
9421	LORD JIM'S RESTAURANT	H
9501	CATHEDRAL PLACE	H
9502	JOHN GANDELL APARTMENT	H
9503	KWOK RESIDENCE	H
9504	GOLF CLUB HOUSE, NAN SHA	H
9504.1	NAN SHA / GOLF SCHOOL	H
9505	Mandarin Oriental, Manila	H
9506	CROWN HOTEL	H
9507	?	H
9508	THE SALCEDO PARK	H
9510	Petroleum Building, Shanghai	H
9511	EDWARD TAI HOUSE	H
9512	G H HONG KONG REGENCY CLUB ROO	H
9513	JC MANDARIN	H
9514	GANDELL SHOPPING CENTER	H
9515	LAGOS DE ALTAMICA,CARTEGENA	H
9516	INTERNATIONAL GARDENS/NAN SHA	H
9517	H. REGENCY GIRARDOT,COLUMBIA	H
9518	ISHAM ARIFF OFFICE COMPLEX	H
9520	PARK HYATT BOGOTA	H
9521	PARK HYATT MELBOURNE	H
9603	NAN SHA GOLF SCHOOL	H
9604	GRAND HYATT ERAWAN BANGKOK	H
9605	?	H
9607	MR. MAX MOAR APT. CATHEDRAL PL	H
9608	LAS PALMAS	H
9609	NAN SHA / GOLF CLUB (ID	H
9610	NAN SHA/ GOLF SCHOOL (ID)	H
9611	NAN SHA/GOLF SCHOOL-VILLAS(ID)	H
9612	TERRAZA MARINA	H
9613	EURPCARIBE RESORT	H
9614	AIGBURTH AND  TAVISTOCK	H
9615	HYATT REGENCY SOMA BAY	H
9616	BRITANNIA HOTEL	H
9617	DAMANSARA CITY PROJECT	H
9618	MONG KOK PROJECT/H.K.	H
9701	JOE SHERRILL RESIDENCE	H
9702	ORCHARD HOTEL-SINGAPORE	H
9703	DAMANSARA HOTEL, KUALA LUMPUR	H
9705	RITZ-CARLTON HOTEL	H
9706	VEERASWAMY RESTAURANT	H
9707	GRAND BAHAMA RESORT	H
9708	HYATT REGENCY PERTH	H
9709	LE ST. GERAN HOTEL, MAURITIUS	H
9710	LE COCO BEACH, MAURITIUS	H
9711	LE TOUESSROCK HOTEL, MAURITIUS	H
9712	JIADA PLAZA HOTEL KUNMING	H
9714	9614ING ORIENTAL PLAZA, CHINA	H
9715	THE RENAISSANCE HOTEL	H
9716	HYATT REGENCY CALCUTTA	H
9716.1	?	H
9717	HYATT REGENCY BOMBAY, INDIA	H
9717.1	?	H
9718	KIA PENG PENTHOUSE	H
9719	HONG KONG STATION RESTAURANT	H
9720	SUN HONG KAI ITALIAN	H
9721	SUN  HUNG KAI ITALIAN REST.	H
9722	RITZ CARLTON SHANGHAI	H
9723	MARCO POLO SHANGHAI, CHINA	H
9724	HWANG GANG LAKE GOLF CLUBHOUSE	H
9725	BELLE BAY SHANGHRI-LA, PHILIPP	H
9726	HYATT REGENCY HSINCHU, TAIWAN	H
9727	PARK HYATT ROATAN,HONDURAS	H
9728	HYATT REGENCY, PANAMA	H
9729	TAGAYTAY RESORT & SPA,PHILIPPI	H
9730	?	H
9731	KCRC HOTEL	H
9801	HYATT CHONGQING	H
9802	CHEUNG KONG CENTRE	H
9803	MAKATI SHANGRI-LA HOTEL	H
9804	CITIC PACIFIC OFFICE REFUR	H
9805	101 CLEMATIS	H
9806	ONE NORTH CLEMATIS STREET	H
9807	SHERATON STOCKHOLM	H
9808	SAFARI RESORT	H
9809	ACROPOLIS MALL	H
9810	PARK HYATT, MENDOZA, ARGENTINA	H
9811	HYATT REGENCY, NEW DELHI,INDIA	H
9811.1	HR  DELHI, INDIAN RESTAURAN	H
9811.2	HR DELHI/TYPICAL GUEST ROOM	H
9811.3	HR DELI/BOARDROOM & CREW LOUNG	H
9812	GRAND HOTEL EXCELSIOR,MALTA	H
9813	G.V.K. REDDY RESIDENCE	H
9815	HYATT REGENCY COCONUT POINT	H
9816	LAKE WORTH BEACH ENHANCEMENT	H
9817	CARLYLE HOTEL	H
9822	LE PALAIS SHOW HOUSE	H
9823	PRESIDENTS COUNTRY CLUB	H
9824	MANDARIN HOTEL, SINGAPORE	H
9901	BROOK HOUSE APARTMENT	H
9902	HYATT REGENCY PANAMA	H
9903	MOSCOW HOTEL	H
9904	PRINCE OF WALES/VICEROY-H.K.	H
9905	HYATT REGENCY SANTIAGO	H
9906	PARK HYATT BUENOS AIRES, ARGEN	H
9907	STRANDVAGEN	H
9908	HONTA HOTEL	H
9909	Great Eagle Hotel Ball/Meeting	H
9910	Great Eagle Hote Roma Suites	H
9911	Radisson Resort Parkway	H
9912	Hurricane Beach Water Park	H
9913	Great Eagle Hotel/Health Club	H
9914	Great Eagle Bostonian Rest.	H
9915	Sheraton Stockholm/Ballroom	H
9916	Hyatt Regency Delhi Club Loung	H
9918	Hyatt Regency Delhi Suites	H
9919	Gupta Residence, Delhi India	H
9920	Park Lane Hotel, Hong Kong	H
